Gene1	Gene2	Correlation	source
AT5G60120	AT1G28395	0.627568332586207	GENIE&WGCNA
AT5G62020	AT5G62030	0.627562053083758	GENIE&WGCNA
AT1G70000	AT3G05640	0.627555720978001	GENIE&WGCNA
AT1G63100	AT1G18650	0.627541443362082	GENIE&WGCNA
AT2G22300	AT2G01440	0.627506783254955	GENIE&WGCNA
AT5G05410	AT2G24100	0.627366985050889	GENIE&WGCNA
AT3G60630	AT1G59870	0.627290416338194	GENIE&WGCNA
AT5G52510	AT2G43910	0.627181863571204	GENIE&WGCNA
AT1G19700	AT3G02720	0.62715340205908	GENIE&WGCNA
AT5G05410	AT1G66510	0.627144687025029	GENIE&WGCNA
AT1G45249	AT5G03650	0.627105727313481	GENIE&WGCNA
AT4G36900	AT5G08000	0.626849280617316	GENIE&WGCNA
AT3G60630	AT5G16150	0.626796898757181	GENIE&WGCNA
AT5G45260	AT1G21390	0.626766022398478	GENIE&WGCNA
AT1G19700	AT1G17430	0.62662188420178	GENIE&WGCNA
AT1G30210	AT3G05675	0.626583150923021	GENIE&WGCNA
AT1G58110	AT1G34200	0.626540570606948	GENIE&WGCNA
AT5G05410	AT3G26440	0.626535599659781	GENIE&WGCNA
AT1G70000	AT3G05675	0.626501417959823	GENIE&WGCNA
AT3G60630	AT4G38200	0.626343698488717	GENIE&WGCNA
AT5G41920	AT5G54890	0.626217383083716	GENIE&WGCNA
AT2G30424	AT1G59620	0.626134301686456	GENIE&WGCNA
AT1G63100	AT1G13170	0.625988063590659	GENIE&WGCNA
AT5G65310	AT4G33270	0.625917437721206	GENIE&WGCNA
AT2G27110	AT4G19900	0.625755773601513	GENIE&WGCNA
AT4G36900	AT2G04350	0.625736517604533	GENIE&WGCNA
AT1G18570	AT1G17500	0.625656229443923	GENIE&WGCNA
AT1G12860	AT1G27350	0.625651707900133	GENIE&WGCNA
AT1G19700	AT1G11545	0.625473894132287	GENIE&WGCNA
AT5G65310	AT5G05170	0.625345680766759	GENIE&WGCNA
AT5G45260	AT5G05680	0.625340105509533	GENIE&WGCNA
AT1G50420	AT5G57990	0.625035361058921	GENIE&WGCNA
AT2G35940	AT5G01880	0.624980456119303	GENIE&WGCNA
AT1G70000	AT1G66330	0.62486590522488	GENIE&WGCNA
AT5G45260	AT1G35220	0.62486149341113	GENIE&WGCNA
AT1G26260	AT3G19450	0.624843447550398	GENIE&WGCNA
AT2G40750	AT4G16950	0.624783091953539	GENIE&WGCNA
AT5G60120	AT2G45860	0.624761557061564	GENIE&WGCNA
AT1G50420	AT1G07510	0.624747446415325	GENIE&WGCNA
AT1G32870	AT4G15490	0.624735027755069	GENIE&WGCNA
AT1G50420	AT4G17550	0.624668440284019	GENIE&WGCNA
AT5G16600	AT1G13470	0.624612794140145	GENIE&WGCNA
AT4G36900	AT5G09230	0.624547232257242	GENIE&WGCNA
AT5G10030	AT1G49560	0.624501321679945	GENIE&WGCNA
AT1G70000	AT2G45950	0.624447209081583	GENIE&WGCNA
AT1G77450	AT1G19140	0.624417824360554	GENIE&WGCNA
AT3G57980	AT4G01070	0.624406553284212	GENIE&WGCNA
AT1G58110	AT5G61210	0.624405577268172	GENIE&WGCNA
AT1G27730	AT1G47970	0.624381291110441	GENIE&WGCNA
AT5G22290	AT4G23820	0.624373093520296	GENIE&WGCNA
AT2G30590	AT1G33060	0.624365992128026	GENIE&WGCNA
AT2G43500	AT1G19140	0.6243385440916	GENIE&WGCNA
AT4G36900	AT1G75770	0.624331526403652	GENIE&WGCNA
AT1G14920	AT5G46330	0.624312259730739	GENIE&WGCNA
AT5G65310	AT1G07240	0.62428897698738	GENIE&WGCNA
AT1G05805	AT2G35050	0.624262275696194	GENIE&WGCNA
AT5G62020	AT3G06660	0.624155053734299	GENIE&WGCNA
AT3G60630	AT4G14360	0.624132600995111	GENIE&WGCNA
AT1G30210	AT5G11260	0.624090552050713	GENIE&WGCNA
AT1G70000	AT4G00050	0.6240456647792	GENIE&WGCNA
AT1G58110	AT5G40720	0.623964488895784	GENIE&WGCNA
AT1G26260	AT1G15500	0.623945882162135	GENIE&WGCNA
AT5G63790	AT5G60490	0.6237220653194	GENIE&WGCNA
AT1G12860	AT1G11280	0.623711725530382	GENIE&WGCNA
AT5G62020	AT1G78150	0.62364935922395	GENIE&WGCNA
AT1G06180	AT1G70480	0.623567066659627	GENIE&WGCNA
AT2G35940	AT2G45960	0.623501369436172	GENIE&WGCNA
AT1G19490	AT2G35050	0.623425094621922	GENIE&WGCNA
AT1G12860	AT1G64980	0.623424155514516	GENIE&WGCNA
AT1G01250	AT2G45960	0.623351460946382	GENIE&WGCNA
AT2G35940	AT4G25080	0.623322474272616	GENIE&WGCNA
AT5G16600	AT1G30900	0.623291461807468	GENIE&WGCNA
AT4G36900	AT1G57590	0.623255693473097	GENIE&WGCNA
AT1G14920	AT2G45950	0.623222496079448	GENIE&WGCNA
AT4G00050	AT2G35050	0.623183208179211	GENIE&WGCNA
AT4G30080	AT1G68130	0.623151726274404	GENIE&WGCNA
AT1G49010	AT5G64400	0.623098599320209	GENIE&WGCNA
AT1G14580	AT5G56660	0.623085487515864	GENIE&WGCNA
AT4G34000	AT3G14810	0.623032836486098	GENIE&WGCNA
AT1G45249	AT4G32600	0.622968818433704	GENIE&WGCNA
AT3G60390	AT1G17120	0.62291356939426	GENIE&WGCNA
AT5G06839	AT1G14150	0.622788830234963	GENIE&WGCNA
AT1G32870	AT5G09230	0.622748934451102	GENIE&WGCNA
AT1G70000	AT5G59010	0.622688575317375	GENIE&WGCNA
AT5G62020	AT1G35660	0.622686249124894	GENIE&WGCNA
AT1G70000	AT5G01880	0.622600165252577	GENIE&WGCNA
AT2G02070	AT4G34750	0.622594834067874	GENIE&WGCNA
AT1G26260	AT1G27910	0.622594261491019	GENIE&WGCNA
AT1G70000	AT2G45960	0.622578202269449	GENIE&WGCNA
AT1G19700	AT4G00050	0.622566937933087	GENIE&WGCNA
AT5G66770	AT4G09630	0.622516468481637	GENIE&WGCNA
AT5G45260	AT1G31540	0.622287439146307	GENIE&WGCNA
AT1G70000	AT3G59500	0.622211744422043	GENIE&WGCNA
AT1G14920	AT1G69530	0.622177642343214	GENIE&WGCNA
AT4G00050	AT2G41000	0.622105633548794	GENIE&WGCNA
AT4G37740	AT2G01440	0.622043328936145	GENIE&WGCNA
AT1G76350	AT1G61215	0.621915504707889	GENIE&WGCNA
AT1G45249	AT1G50420	0.621895965560543	GENIE&WGCNA
AT1G26260	AT2G32240	0.621837458445435	GENIE&WGCNA
AT2G40340	AT1G18660	0.621782163744111	GENIE&WGCNA
AT1G70000	AT3G02720	0.621739818419013	GENIE&WGCNA
AT1G70000	AT2G35940	0.621706623941886	GENIE&WGCNA
AT5G05410	AT1G12380	0.621624467851202	GENIE&WGCNA
AT1G33060	AT1G48280	0.621556804222383	GENIE&WGCNA
AT1G70000	AT2G07050	0.621549898581265	GENIE&WGCNA
AT2G27110	AT2G44490	0.621483891335663	GENIE&WGCNA
AT3G48590	AT5G07240	0.621473939816263	GENIE&WGCNA
AT1G70000	AT3G44100	0.621260069803376	GENIE&WGCNA
AT5G05410	AT1G55530	0.621236272764369	GENIE&WGCNA
AT1G01720	AT1G77850	0.621228307057636	GENIE&WGCNA
AT2G40950	AT4G33640	0.621126637324689	GENIE&WGCNA
AT2G47890	AT1G55160	0.621057205759631	GENIE&WGCNA
AT1G70000	AT2G34060	0.620980952155203	GENIE&WGCNA
AT4G36900	AT5G18850	0.620969424540146	GENIE&WGCNA
AT1G12860	AT4G08230	0.620963196944153	GENIE&WGCNA
AT1G45249	AT1G17940	0.620961988235856	GENIE&WGCNA
AT4G36990	AT4G14300	0.620923435618411	GENIE&WGCNA
AT3G01470	AT3G14067	0.620915630322192	GENIE&WGCNA
AT1G20980	AT1G17500	0.620904193620646	GENIE&WGCNA
AT4G00050	AT1G76570	0.620895510719189	GENIE&WGCNA
AT1G06180	AT1G27910	0.620826342185905	GENIE&WGCNA
AT5G07680	AT1G08650	0.620778001561594	GENIE&WGCNA
AT4G36900	AT1G77230	0.620759378474426	GENIE&WGCNA
AT5G52660	AT2G16900	0.620740326347315	GENIE&WGCNA
AT3G60630	AT2G22300	0.620630784818396	GENIE&WGCNA
AT1G58110	AT4G15233	0.620473663964572	GENIE&WGCNA
AT4G34680	AT3G14740	0.620455990297576	GENIE&WGCNA
AT5G57150	AT3G15430	0.62042867309929	GENIE&WGCNA
AT2G18300	AT1G54730	0.620422793689368	GENIE&WGCNA
AT2G22300	AT2G31090	0.620389499293995	GENIE&WGCNA
AT3G60630	AT5G46880	0.62035880086651	GENIE&WGCNA
AT1G58100	AT3G05160	0.620335030960923	GENIE&WGCNA
AT1G08465	AT4G11530	0.620325693756708	GENIE&WGCNA
AT5G60120	AT5G15570	0.620276367354298	GENIE&WGCNA
AT3G60030	AT4G24390	0.620272807186043	GENIE&WGCNA
AT5G16600	AT4G35180	0.620260218216338	GENIE&WGCNA
AT1G01250	AT5G01880	0.620108432402658	GENIE&WGCNA
AT3G23690	AT2G32980	0.620060784509849	GENIE&WGCNA
AT1G14920	AT1G23080	0.620034022282087	GENIE&WGCNA
AT4G01280	AT1G03870	0.620032070069683	GENIE&WGCNA
AT1G70000	AT4G27820	0.619936384430263	GENIE&WGCNA
AT1G18570	AT5G40910	0.619865108176861	GENIE&WGCNA
AT1G14580	AT4G01090	0.619837354389001	GENIE&WGCNA
AT5G52660	AT2G38280	0.61972820797269	GENIE&WGCNA
AT1G70000	AT1G75770	0.619621949076317	GENIE&WGCNA
AT2G44730	AT5G41910	0.619611327890845	GENIE&WGCNA
AT3G01470	AT4G20820	0.61954455986481	GENIE&WGCNA
AT1G45249	AT1G70480	0.619265454355527	GENIE&WGCNA
