Gene1	Gene2	Correlation	Gene1_class	Gene2_class	Gene1_direction	Gene2_direction	Gene1_total	Gene2_total	Gene1_TF	Gene2_TF	Gene1_photoreceptor	Gene2_photoreceptor	Gene1_known	Gene2_known	interaction_type	same_class	same_direction	source	Gene1_label	Gene2_label	Gene1_tf_family	Gene2_tf_family
AT1G28310	AT2G21140	0.48217419577183757	Short Down	Short Down	Down	Down	4	9	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	Dof	NA
AT1G30330	AT3G53380	0.4818652702438635	Short Down	Short–Long Down	Down	Down	3	6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	photo-gene	FALSE	TRUE	GENIE&WGCNA	Photoreceptor, Short Down	Short–Long Down	ARF	NA
AT1G69780	AT4G19420	0.48160229429581525	Short–Long Down	Short–Long Down	Down	Down	7	9	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short–Long Down	Short–Long Down	HD-ZIP	NA
AT5G05790	AT4G29100	0.48137802390943785	Short Down	Short Down	Down	Down	4	3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TF-TF	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	TF, Short Down	MYB	bHLH
AT5G60200	AT1G12080	0.48038081000764815	Short Down	Short–Long Down	Down	Down	4	4	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down	Short–Long Down	Dof	NA
AT3G57800	AT5G23870	0.4803194600837585	Short Down	Short Down	Down	Down	4	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	bHLH	NA
AT3G61950	AT1G07670	0.4798512895590454	Short Down	Short Up	Down	Up	11	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Down	Short Up	bHLH	NA
AT5G60690	AT2G36200	0.4788850994744304	Short Down	Short Down	Down	Down	3	5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	HD-ZIP	NA
AT1G69780	AT5G45940	0.47850078229959664	Short–Long Down	Short–Long Down	Down	Down	7	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short–Long Down	Short–Long Down	HD-ZIP	NA
AT5G60690	AT5G65630	0.4782737212303173	Short Down	Short Up	Down	Up	3	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Down	Short Up	HD-ZIP	NA
AT5G65310	AT5G62500	0.4775158821215634	Short Down–Long Up	Short Down	Down	Down	9	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down–Long Up	Short Down	HD-ZIP	NA
AT5G03150	AT1G14790	0.4768245411043651	Short–Long Down	Short Up–Long Down	Down	Up	8	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short–Long Down	Short Up–Long Down	C2H2	NA
AT1G69580	AT1G11303	0.47613626704988293	Short Down	Short Up–Long Down	Down	Up	6	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Down	Short Up–Long Down	G2-like	NA
AT4G37650	AT2G44730	0.47602061733003614	Short Down	Short Down	Down	Down	8	3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TF-TF	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	TF, Short Down	GRAS	Trihelix
AT2G26150	AT2G27580	0.47543783366330267	Short Up–Down	Short Up	Mixed	Up	15	10	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Down	Short Up	HSF	NA
